acc,entry,HPhylomeDB|P00395,EggNOG|COG0843,HOGENOM|NA,HOVERGEN|HBG003841,KO|K02256,OMA|FHGLASM,Total
B2CLG1,B2CLG1_EUDMI,0,0,0,1,0,0,1
B2CLG6,B2CLG6_EUDMI,0,0,0,1,0,0,1
B2CLH4,B2CLH4_FRACI,0,0,0,1,0,0,1
B2CLE6,B2CLE6_EUDMI,0,0,0,1,0,0,1
B2CLH5,B2CLH5_FRACR,0,0,0,1,0,0,1
B2CLV5,B2CLV5_9PASS,0,0,0,1,0,0,1
B2CLH8,B2CLH8_GELNI,0,0,0,1,0,0,1
B2CLP4,B2CLP4_PYGPA,0,0,0,1,0,0,1
B2CLP6,B2CLP6_PYGPA,0,0,0,1,0,0,1
B2CLP0,B2CLP0_PYGAN,0,0,0,1,0,0,1
B2CLS9,B2CLS9_STELN,0,0,0,1,0,0,1
B2CLT5,B2CLT5_9CHAR,0,0,0,1,0,0,1
B2CLE7,B2CLE7_EUDMI,0,0,0,1,0,0,1
B2CLU2,B2CLU2_STEAI,0,0,0,1,0,0,1
B2CLU7,B2CLU7_STUNE,0,0,0,1,0,0,1
B2CLU4,B2CLU4_9CHAR,0,0,0,1,0,0,1
B2CLF2,B2CLF2_EUDMI,0,0,0,1,0,0,1
B2CLN9,B2CLN9_PYGAN,0,0,0,1,0,0,1
B2CLU3,B2CLU3_9CHAR,0,0,0,1,0,0,1
B2CLN6,B2CLN6_PHELU,0,0,0,1,0,0,1
B2CLU1,B2CLU1_STEAI,0,0,0,1,0,0,1
B2CLT6,B2CLT6_9CHAR,0,0,0,1,0,0,1
B2CLU0,B2CLU0_9CHAR,0,0,0,1,0,0,1
B2CLV0,B2CLV0_9PASS,0,0,0,1,0,0,1
B2CLT9,B2CLT9_9CHAR,0,0,0,1,0,0,1
B2CLV4,B2CLV4_SYNWU,0,0,0,1,0,0,1
B2CLN2,B2CLN2_PHALO,0,0,0,1,0,0,1
B2CLT7,B2CLT7_9CHAR,0,0,0,1,0,0,1
B2CLF3,B2CLF3_EUDMI,0,0,0,1,0,0,1
B2CLK4,B2CLK4_LIMSC,0,0,0,1,0,0,1
B2CLS7,B2CLS7_SPIPA,0,0,0,1,0,0,1
B2CLI2,B2CLI2_GELNI,0,0,0,1,0,0,1
B2CLJ1,B2CLJ1_HIMHI,0,0,0,1,0,0,1
B2CLQ1,B2CLQ1_PYGPA,0,0,0,1,0,0,1
B2CLJ2,B2CLJ2_HIMHI,0,0,0,1,0,0,1
B2CLR2,B2CLR2_9CHAR,0,0,0,1,0,0,1
B2CLL6,B2CLL6_9AVES,0,0,0,1,0,0,1
B2CLR1,B2CLR1_RECAE,0,0,0,1,0,0,1
B2CLJ5,B2CLJ5_HYDCS,0,0,0,1,0,0,1
B2CLJ6,B2CLJ6_HYDCS,0,0,0,1,0,0,1
B2CLJ7,B2CLJ7_HYDCS,0,0,0,1,0,0,1
B2CLQ4,B2CLQ4_PYGPA,0,0,0,1,0,0,1
B2CLL2,B2CLL2_MORBA,0,0,0,1,0,0,1
B2CLK0,B2CLK0_JACJC,0,0,0,1,0,0,1
B2CLL0,B2CLL0_MORBA,0,0,0,1,0,0,1
B2CLQ2,B2CLQ2_PYGPA,0,0,0,1,0,0,1
B2CLK2,B2CLK2_JACJC,0,0,0,1,0,0,1
B2CLK7,B2CLK7_9GALL,0,0,0,1,0,0,1
B2CLK5,B2CLK5_9GALL,0,0,0,1,0,0,1
B2CLI9,B2CLI9_HIMHI,0,0,0,1,0,0,1
B2CLR3,B2CLR3_9CHAR,0,0,0,1,0,0,1
B2CLR5,B2CLR5_RISTR,0,0,0,1,0,0,1
B2CLS3,B2CLS3_SPHMA,0,0,0,1,0,0,1
B2CLI3,B2CLI3_GELNI,0,0,0,1,0,0,1
B2CLS6,B2CLS6_SPIPA,0,0,0,1,0,0,1
B2CLS5,B2CLS5_SPHMA,0,0,0,1,0,0,1
B2CLI4,B2CLI4_HIMHI,0,0,0,1,0,0,1
B2CLI5,B2CLI5_HIMHI,0,0,0,1,0,0,1
B2CLI7,B2CLI7_HIMHI,0,0,0,1,0,0,1
B2CLI8,B2CLI8_HIMHI,0,0,0,1,0,0,1
B2CLM8,B2CLM8_PHAFL,0,0,0,1,0,0,1
B2CLR7,B2CLR7_SPHDE,0,0,0,1,0,0,1
B2CLS2,B2CLS2_SPHDE,0,0,0,1,0,0,1
B2CLP7,B2CLP7_PYGPA,0,0,0,1,0,0,1
B2CLR9,B2CLR9_SPHDE,0,0,0,1,0,0,1
B2CLR8,B2CLR8_SPHDE,0,0,0,1,0,0,1
B2CLP1,B2CLP1_PYGAN,0,0,0,1,0,0,1
B2CLM5,B2CLM5_NUMTA,0,0,0,1,0,0,1
B2CLQ0,B2CLQ0_PYGPA,0,0,0,1,0,0,1
W8DV66,W8DV66_DROYA,0,0,0,0,1,0,1
B2HU98,B2HU98_ACIBC,0,1,0,0,0,0,1
B2CLV8,B2CLV8_9PASS,0,0,0,1,0,0,1
B2XLJ8,B2XLJ8_HUMAN,0,0,0,1,0,0,1
B2XH81,B2XH81_HUMAN,0,0,0,1,0,0,1
B2XHY2,B2XHY2_HUMAN,0,0,0,1,0,0,1
B2XI93,B2XI93_HUMAN,0,0,0,1,0,0,1
B2XJ80,B2XJ80_HUMAN,0,0,0,1,0,0,1
B2XLA7,B2XLA7_HUMAN,0,0,0,1,0,0,1
B2XLI5,B2XLI5_HUMAN,0,0,0,1,0,0,1
B2XM03,B2XM03_HUMAN,0,0,0,1,0,0,1
B2CLW3,B2CLW3_STESA,0,0,0,1,0,0,1
B2XNF6,B2XNF6_HUMAN,0,0,0,1,0,0,1
B2XPY6,B2XPY6_HUMAN,0,0,0,1,0,0,1
B2XRS6,B2XRS6_APIME,0,1,0,0,0,0,1
B2XX69,B2XX69_9MYCE,0,0,0,0,1,0,1
B2XY88,B2XY88_CHLRE,0,0,0,0,1,0,1
B2Y9D8,B2Y9D8_HUMAN,0,0,0,1,0,0,1
B2XGN6,B2XGN6_HUMAN,0,0,0,1,0,0,1
B2XEY0,B2XEY0_HUMAN,0,0,0,1,0,0,1
B2WVQ2,B2WVQ2_UNCUN,0,0,0,1,0,0,1
B2WVN8,B2WVN8_PANTI,0,0,0,1,0,0,1
B2WVM5,B2WVM5_PANPR,0,0,0,1,0,0,1
B2WVL2,B2WVL2_OSTTE,0,0,0,1,0,0,1
B2WVJ9,B2WVJ9_9SAUR,0,0,0,1,0,0,1
B2UK56,B2UK56_RALPJ,0,1,0,0,0,0,1
B2UFR1,B2UFR1_RALPJ,0,1,0,0,0,0,1
B2UE41,B2UE41_RALPJ,0,1,0,0,0,0,1
B2UDP3,B2UDP3_RALPJ,0,1,0,0,0,0,1
B2U4N5,B2U4N5_SHIB3,0,1,0,0,0,0,1
B2TCF0,B2TCF0_BURPP,0,1,0,0,0,0,1
B2T4C3,B2T4C3_BURPP,0,1,0,0,0,0,1
B2SXK2,B2SXK2_BURPP,0,1,0,0,0,0,1
B2STC9,B2STC9_XANOP,0,1,0,0,0,0,1
B2SL18,B2SL18_XANOP,0,1,0,0,0,0,1
B2YFX0,B2YFX0_9TELE,0,0,0,1,0,0,1
B2ZA96,B2ZA96_OVIMU,0,0,0,1,0,0,1
B2ZAI5,B2ZAI5_CHICK,0,0,0,1,0,0,1
B3DYF7,B3DYF7_METI4,0,1,0,0,0,0,1
B3LED4,B3LED4_9TELE,0,0,0,1,0,0,1
B3LEC1,B3LEC1_9TELE,0,0,0,1,0,0,1
B3LEA8,B3LEA8_9TELE,0,0,0,1,0,0,1
B3GT94,B3GT94_CAIMO,0,0,0,1,0,0,1
B3GT31,B3GT31_VARSL,0,0,0,1,0,0,1
B3GT18,B3GT18_9SAUR,0,0,0,1,0,0,1
B3GT05,B3GT05_OPHAT,0,0,0,1,0,0,1
B3GSQ2,B3GSQ2_HUMAN,0,0,0,1,0,0,1
B3FWR1,B3FWR1_9TELE,0,0,0,1,0,0,1
B3FRZ1,B3FRZ1_9CHON,0,0,0,1,0,0,1
B3F2Y9,B3F2Y9_URSTH,0,0,0,1,0,0,1
B3F0J3,B3F0J3_PLASA,0,0,0,1,0,0,1
B3EZ34,B3EZ34_9SAUR,0,0,0,1,0,0,1
B3EYC2,B3EYC2_9SAUR,0,0,0,1,0,0,1
B3DY48,B3DY48_METI4,0,1,0,0,0,0,1
B2ZAJ3,B2ZAJ3_CHICK,0,0,0,1,0,0,1
B3DUV8,B3DUV8_METI4,0,1,0,0,0,0,1
B3DEC2,B3DEC2_HUMAN,0,0,0,1,0,0,1
B3DD95,B3DD95_HUMAN,0,0,0,1,0,0,1
B3DB50,B3DB50_BURM1,0,1,0,0,0,0,1
B3CTF7,B3CTF7_ORITI,0,1,0,0,0,0,1
B3CN59,B3CN59_WOLPP,0,1,0,0,0,0,1
B2ZAM0,B2ZAM0_CHICK,0,0,0,1,0,0,1
B2ZAL8,B2ZAL8_CHICK,0,0,0,1,0,0,1
B2ZAK5,B2ZAK5_CHICK,0,0,0,1,0,0,1
B2ZAK4,B2ZAK4_CHICK,0,0,0,1,0,0,1
B2ZAK2,B2ZAK2_CHICK,0,0,0,1,0,0,1
B2ZAJ9,B2ZAJ9_CHICK,0,0,0,1,0,0,1
B2ZAJ6,B2ZAJ6_CHICK,0,0,0,1,0,0,1
B2ZAJ4,B2ZAJ4_CHICK,0,0,0,1,0,0,1
B2SE25,B2SE25_FRATM,0,1,0,0,0,0,1
B2S9W5,B2S9W5_BRUA1,0,1,0,0,0,0,1
B2MZJ0,B2MZJ0_9TELE,0,0,0,1,0,0,1
B2CLZ3,B2CLZ3_TRISG,0,0,0,1,0,0,1
B2I9K3,B2I9K3_XYLF2,0,1,0,0,0,0,1
B2CLD5,B2CLD5_EUDMI,0,0,0,1,0,0,1
B2HHM4,B2HHM4_MYCMM,0,1,0,0,0,0,1
B2HHG9,B2HHG9_MYCMM,0,1,0,0,0,0,1
B2GHS9,B2GHS9_KOCRD,0,1,0,0,0,0,1
B2FUA1,B2FUA1_STRMK,0,1,0,0,0,0,1
B2FLI0,B2FLI0_STRMK,0,1,0,0,0,0,1
B2FJZ0,B2FJZ0_STRMK,0,1,0,0,0,0,1
B2CM09,B2CM09_URILO,0,0,0,1,0,0,1
B2CM06,B2CM06_URIAL,0,0,0,1,0,0,1
B2CM05,B2CM05_9CHAR,0,0,0,1,0,0,1
B2CM02,B2CM02_9CHAR,0,0,0,1,0,0,1
B2CM00,B2CM00_9CHAR,0,0,0,1,0,0,1
B2CLZ9,B2CLZ9_9CHAR,0,0,0,1,0,0,1
B2CLZ2,B2CLZ2_TRISG,0,0,0,1,0,0,1
B2J1T8,B2J1T8_NOSP7,0,1,0,0,0,0,1
B2CLZ1,B2CLZ1_TRINE,0,0,0,1,0,0,1
B2CLY7,B2CLY7_TRINE,0,0,0,1,0,0,1
B2CLY4,B2CLY4_TRIML,0,0,0,1,0,0,1
B2CLY1,B2CLY1_TRIIA,0,0,0,1,0,0,1
B2CLX9,B2CLX9_TRIGL,0,0,0,1,0,0,1
B2CLX7,B2CLX7_TRIGL,0,0,0,1,0,0,1
B2CLX6,B2CLX6_TRIGL,0,0,0,1,0,0,1
B2CLX3,B2CLX3_TRIFA,0,0,0,1,0,0,1
B2CLX2,B2CLX2_TRIFA,0,0,0,1,0,0,1
B2CLX1,B2CLX1_TRIFA,0,0,0,1,0,0,1
B2CLX0,B2CLX0_TRIFA,0,0,0,1,0,0,1
B2CLW9,B2CLW9_TRIFA,0,0,0,1,0,0,1
B2CLW5,B2CLW5_STESA,0,0,0,1,0,0,1
B2CLW4,B2CLW4_STESA,0,0,0,1,0,0,1
B2IGJ7,B2IGJ7_BEII9,0,1,0,0,0,0,1
B2J2L9,B2J2L9_NOSP7,0,1,0,0,0,0,1
B2MZI8,B2MZI8_9TELE,0,0,0,1,0,0,1
B2KRU0,B2KRU0_RHYNA,0,0,0,1,0,0,1
B2MZI5,B2MZI5_9TELE,0,0,0,1,0,0,1
B2MZI4,B2MZI4_9TELE,0,0,0,1,0,0,1
B2MZI3,B2MZI3_9TELE,0,0,0,1,0,0,1
B2MZI0,B2MZI0_9TELE,0,0,0,1,0,0,1
B2MZH9,B2MZH9_9TELE,0,0,0,1,0,0,1
B2MZH8,B2MZH8_9TELE,0,0,0,1,0,0,1
B2MZH5,B2MZH5_9TELE,0,0,0,1,0,0,1
B2MWY7,B2MWY7_9TELE,0,0,0,1,0,0,1
B2LIE7,B2LIE7_GASAC,0,1,0,0,0,0,1
B2L0N9,B2L0N9_MUSTR,0,0,0,1,0,0,1
B2KRY8,B2KRY8_SACLE,0,0,0,1,0,0,1
B2KRY3,B2KRY3_SACLE,0,0,0,1,0,0,1
B2KRY2,B2KRY2_9CHIR,0,0,0,1,0,0,1
B2KRW8,B2KRW8_SACBI,0,0,0,1,0,0,1
B2KRK7,B2KRK7_PROCU,0,0,0,1,0,0,1
B2J5V4,B2J5V4_NOSP7,0,1,0,0,0,0,1
B2KRI6,B2KRI6_PLAHE,0,0,0,1,0,0,1
B2KR41,B2KR41_9CHIR,0,0,0,1,0,0,1
B2KR40,B2KR40_9CHIR,0,0,0,1,0,0,1
B2KR25,B2KR25_9CHIR,0,0,0,1,0,0,1
B2KQF8,B2KQF8_MARMX,0,0,0,1,0,0,1
B2KM44,B2KM44_HUMAN,0,0,0,1,0,0,1
B2K6U9,B2K6U9_YERPB,0,1,0,0,0,0,1
B2JVB4,B2JVB4_BURP8,0,1,0,0,0,0,1
B2JRY2,B2JRY2_BURP8,0,1,0,0,0,0,1
B2JP89,B2JP89_BURP8,0,1,0,0,0,0,1
B2JP14,B2JP14_BURP8,0,1,0,0,0,0,1
B2JMI9,B2JMI9_BURP8,0,1,0,0,0,0,1
B2JCS1,B2JCS1_BURP8,0,1,0,0,0,0,1
B2J6R3,B2J6R3_NOSP7,0,1,0,0,0,0,1
B2CLD6,B2CLD6_EUDMI,0,0,0,1,0,0,1
B2CL72,B2CL72_APTPA,0,0,0,1,0,0,1
B2CLD4,B2CLD4_EUDMI,0,0,0,1,0,0,1
B0SE54,B0SE54_LEPBA,0,1,0,0,0,0,1
B0JDZ2,B0JDZ2_9EUTH,0,0,0,1,0,0,1
B0JE06,B0JE06_DAUMA,0,0,0,1,0,0,1
B0JE19,B0JE19_EULMO,0,0,0,1,0,0,1
B0JE32,B0JE32_9EUTH,0,0,0,1,0,0,1
B0JE45,B0JE45_9EUTH,0,0,0,1,0,0,1
B0JGB1,B0JGB1_MICAN,0,1,0,0,0,0,1
B0KFY3,B0KFY3_PSEPG,0,1,0,0,0,0,1
B0KPE1,B0KPE1_PSEPG,0,1,0,0,0,0,1
B0L655,B0L655_SCORE,0,0,0,1,0,0,1
B0LFN3,B0LFN3_PANTR,0,0,0,1,0,0,1
B0LFP6,B0LFP6_9PRIM,0,0,0,1,0,0,1
B0LXC9,B0LXC9_CTEID,0,0,0,1,0,0,1
B0R7A7,B0R7A7_HALS3,0,1,0,0,0,0,1
B0RIL1,B0RIL1_CLAMS,0,1,0,0,0,0,1
B0RXJ9,B0RXJ9_XANCB,0,1,0,0,0,0,1
B0JDY8,B0JDY8_TRIMA,0,0,0,1,0,0,1
B0JDW6,B0JDW6_DENDR,0,0,0,1,0,0,1
B0FWC7,COX1_AEDAE,0,0,0,0,1,0,1
A9Z1F9,A9Z1F9_HYPNO,0,0,0,1,0,0,1
A9Y810,A9Y810_9SALA,0,0,0,1,0,0,1
A9Y817,A9Y817_9SALA,0,0,0,1,0,0,1
A9Y824,A9Y824_9SALA,0,0,0,1,0,0,1
A9Y831,A9Y831_BATMJ,0,0,0,1,0,0,1
A9Y838,A9Y838_9SALA,0,0,0,1,0,0,1
A9Z1A9,A9Z1A9_PIG,0,0,0,1,0,0,1
A9ZNI3,A9ZNI3_HYLJA,0,0,0,1,0,0,1
B0FNC1,B0FNC1_SCHJA,0,1,0,0,0,0,1
A9ZNJ6,A9ZNJ6_9NEOB,0,0,0,1,0,0,1
B0BXE8,B0BXE8_RICRO,0,1,0,0,0,0,1
B0C0A2,B0C0A2_ACAM1,0,1,0,0,0,0,1
B0CI63,B0CI63_BRUSI,0,1,0,0,0,0,1
B0EXU4,B0EXU4_SHEEP,0,0,0,1,0,0,1
B0FNB5,B0FNB5_SCHJA,0,1,0,0,0,0,1
B0RY24,B0RY24_XANCB,0,1,0,0,0,0,1
B0SMN7,B0SMN7_LEPBP,0,1,0,0,0,0,1
B2CLD2,B2CLD2_EUDMI,0,0,0,1,0,0,1
B0T0X7,B0T0X7_CAUSK,0,1,0,0,0,0,1
B0YIP4,B0YIP4_CEPCO,0,0,0,1,0,0,1
B0YIP5,B0YIP5_CERMN,0,0,0,1,0,0,1
B0YIP6,B0YIP6_AETPS,0,0,0,1,0,0,1
B0YIP7,B0YIP7_FRACR,0,0,0,1,0,0,1
B0YIP8,B0YIP8_FRACI,0,0,0,1,0,0,1
B0YIP9,B0YIP9_PTYAL,0,0,0,1,0,0,1
B0YIQ0,B0YIQ0_SYNAN,0,0,0,1,0,0,1
B0YIQ1,B0YIQ1_SYNCR,0,0,0,1,0,0,1
B0YIQ2,B0YIQ2_SYNWU,0,0,0,1,0,0,1
B0YIQ3,B0YIQ3_URIAL,0,0,0,1,0,0,1
B0YIQ4,B0YIQ4_URIAL,0,0,0,1,0,0,1
B0YIQ5,B0YIQ5_URILO,0,0,0,1,0,0,1
B0Z6P8,B0Z6P8_HUMAN,0,0,0,1,0,0,1
B0Z6V0,B0Z6V0_HUMAN,0,0,0,1,0,0,1
B0ZBP4,B0ZBP4_9PASE,0,0,0,1,0,0,1
B0YIP3,B0YIP3_CEPCR,0,0,0,1,0,0,1
B0YIP2,B0YIP2_9CHAR,0,0,0,1,0,0,1
B0YIP1,B0YIP1_BRAMA,0,0,0,1,0,0,1
B0V7H1,B0V7H1_ACIBY,0,1,0,0,0,0,1
